id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4720974308049982,L8NDwxMaq,1856196354,SnowyVanilla,想起来，2015年10月份第一次见到同父异母的小妹妹，当时很伤心，饭也不想吃了，自己走了出去，在交警支队外面那条路，不顾旁人，一边走一边大哭着，好难过好难过，一个人坐车去到莞城文化广场喷泉那里在那里呆了好久才回家。15年的时候，妈妈好像好了一点，我不敢告诉她。17年再见到小妹妹的时候，我好像把伤心都忘记了，爸妈离婚的时候，我大表姐跟我说了句：就算天塌下来我也要撑住。我想说，那么多年这座城堡的砖头不知道砸了我多少次了我都是塌多少次我撑多少次，我都忘记我内心挣扎过多少次了，我只求自己能从悲伤中走出来，妈妈没有伤心。现在想起以前那些难过的时候，还是很多愁善感，都多少年了，妈妈也走了，反而现在比以前妈妈在的时候更容易感伤脆弱。我看我的家就像一部港剧，但是每次我看到电视剧里面团圆的场景又很想我家也团圆。也许我的心里最渴望的是，一切可以回到我的小时候，那时候我每天都有爸爸妈妈在家陪着，还有妹妹弟弟，一家五口在一起。我这一生真的没什么盼的了。可是，一切也不可能再回到从前。好好过好当下，虽然不知道悲伤什么时候完全消散，但我还是要尽快振作起来，好好学习，努力赚钱。,,,,,0,2,0,2022-01-01 23:37,vivo U3 强劲芯动力,"['https://wx3.sinaimg.cn/large/6ea34f02gy1gxyk55qlofj20u01t0tf6.jpg', 'https://wx1.sinaimg.cn/large/6ea34f02gy1gxylir54h9j20u01t0gts.jpg', 'https://wx1.sinaimg.cn/large/6ea34f02gy1gxylirlnmmj20u01t0dnw.jpg', 'https://wx1.sinaimg.cn/large/6ea34f02gy1gxylis31r2j20u01t0dmg.jpg']",,
4720970378510371,L8NxbzHW3,5690323605,Sereinlan,2022年的第一天~记录算是回忆童年的一天~去了很久没去的莞城姐真的好久没有摇公交了，真的是心血来潮去到了科学馆，刚好有个新展，感觉历史书上的东西我都能亲眼看见了，激动子~开心~然后呢，2020第一杯奶茶是Coco的芋圆奶茶逛了充满童年记忆的新华书店，找到了我小时候超级无敌喜欢的笑猫日记！！！还出了很多续集，呜呜呜～有机会我一定集齐所有去到了人民公园看了猴子忒激动了，眼睛不够使就用相机，看到有个小猴子在怀了可把爷激动到了，真可爱最后去充满人间烟火的光明市场，各式各样的美食齐全呐！！！真的是放肆吃~香喷喷的鸡翅，羊肉串，豆腐，面筋，炸藕.......虽然很罪恶，但是我就是很想吃我突然感觉，其实这边也挺好玩的,,,,,0,3,0,2022-01-01 23:21,OPPO Reno6 Pro 5G,"['https://wx2.sinaimg.cn/large/006d616Zgy1gxyjtz10tyj33402c0x6q.jpg', 'https://wx2.sinaimg.cn/large/006d616Zgy1gxyju3xh63j33402c0qv7.jpg', 'https://wx3.sinaimg.cn/large/006d616Zgy1gxyju1zyxfj32c0340qv6.jpg', 'https://wx1.sinaimg.cn/large/006d616Zgy1gxyks59omuj32xy27ghdu.jpg', 'https://wx4.sinaimg.cn/large/006d616Zgy1gxyjueoiczj30r00qowh3.jpg', 'https://wx1.sinaimg.cn/large/006d616Zgy1gxyks6tjylj32oc3kghdv.jpg', 'https://wx2.sinaimg.cn/large/006d616Zgy1gxyjubvv7gj32oc3kg1l0.jpg', 'https://wx4.sinaimg.cn/large/006d616Zgy1gxyju8x1ouj33kg2ockjo.jpg', 'https://wx4.sinaimg.cn/large/006d616Zgy1gxyju6zbd7j33kg2ockjm.jpg']",,
4720951097038716,L8N25tx5G,2296829962,漫游小波,剪完头发然后去哄哄家跨年，新年新气象，我妈同意俺去别人家过夜啦🥳🥳🎊美美看了好看的电影！国庆很想去看的，但无奈当时没时间！然后就在最后一天看完了！🥳🥳还吃了哄哄做的蛋挞🤤很晚睡也睡到很晚，忘记了今天的家庭聚餐💧俺们下次再约🥰🥰🤤🤟@口水流出来了吃完饭去了人民公园（怎么放假还在莞城啊救救我吧），玩了海盗船，好久没体验的失重感。好像去长隆怒坐垂直和跳楼机🤪侄子抓的🐟，新一年也要好好摸鱼。遇到了两只超可爱的狗子！！！小朋友吃麦当劳都会超开心🤤第一天好幸福希望一整年都是🥰🥳🤙🏻🤟,,,口水流出来了,,0,4,16,2022-01-01 22:05,iPhone客户端,"['https://wx2.sinaimg.cn/large/88e6d80agy1gxyikbqs48j20u0140138.jpg', 'https://wx2.sinaimg.cn/large/88e6d80agy1gxyijlxhg5j20u0140qdq.jpg', 'https://wx2.sinaimg.cn/large/88e6d80agy1gxyijipqxfj20u0140jx2.jpg', 'https://wx1.sinaimg.cn/large/88e6d80agy1gxyijmywmuj21450u0gy5.jpg', 'https://wx2.sinaimg.cn/large/88e6d80agy1gxyijoci27j20u013w7gw.jpg', 'https://wx1.sinaimg.cn/large/88e6d80agy1gxyijm8yhvj21400u0mzl.jpg', 'https://wx1.sinaimg.cn/large/88e6d80agy1gxyijl0gplj21400u0wig.jpg', 'https://wx3.sinaimg.cn/large/88e6d80agy1gxyijknnrsj21400u0dnu.jpg', 'https://wx3.sinaimg.cn/large/88e6d80agy1gxyijht7yuj21400u0784.jpg']",,
4723503108986494,L9RqeBHNs,5924327367,阿派关爱小动物社会发展中心,#阿派验证发布求助信息#日期：2022.1.8地点：东莞市莞城区樟村鸦叫尾宣安小区（具体位置联系求助人）动物情况：粘人流浪猫左眼感染大量脓血后续费用：不负责后续费用求助人是否留在原地：是联系方式:请见评论阿派发布信息由求助人提供，求助人承诺内容属实，如有不实内容，求助人承担全部责任。,,,,阿派验证发布求助信息,11,2,4,2022-01-08 23:06,爱终止流浪Android,"['https://wx2.sinaimg.cn/large/006sVSbdgy1gy6ny7kbzmj30u0140tdi.jpg', 'https://wx3.sinaimg.cn/large/006sVSbdgy1gy6ny88nwdj30s21dvaia.jpg']",,
4723866296912474,La0S1t0fw,2344297792,Zz_ZST,莞城一日游,,,,,0,1,0,2022-01-09 23:09,打不死的iPhone客户端,"['https://wx3.sinaimg.cn/large/8bbb2540gy1gy7tn3aw48j22c0340npd.jpg', 'https://wx3.sinaimg.cn/large/8bbb2540gy1gy7tmrsty2j23402c0npf.jpg', 'https://wx1.sinaimg.cn/large/8bbb2540gy1gy7tmnjhyqj22c0340qv6.jpg', 'https://wx2.sinaimg.cn/large/8bbb2540gy1gy7tn9hluwj22c0340npe.jpg', 'https://wx3.sinaimg.cn/large/8bbb2540gy1gy7tn19zkhj23402c0u0x.jpg', 'https://wx4.sinaimg.cn/large/8bbb2540gy1gy7tmytsmoj22c0340b2b.jpg', 'https://wx4.sinaimg.cn/large/8bbb2540gy1gy7tnbqueoj22c0340e82.jpg', 'https://wx1.sinaimg.cn/large/8bbb2540gy1gy7tneps66j23402c0hdu.jpg', 'https://wx1.sinaimg.cn/large/8bbb2540gy1gy7tn6pfptj22c0340u0y.jpg']",,
4720937872920309,L8MGLcfHL,6422937016,医美颜值社,【最近做眼睛常问医院医生】东莞莞城天后梁如光，田龙元贵阳佳易美刘冰语呼和浩特华医容咏新，刘一东东莞西妃任家骠合肥华美朱德刚，杨鹏武汉美都张浩，姚容合肥壹加壹甘泉涌，孟松技术审美怎么样？口碑好不好？失败案例？黑料不清楚都可以问或评论查询,,,,,0,2,0,2022-01-01 21:12,,"['https://wx4.sinaimg.cn/large/0070FZkkly1gxyhby13mej31o027uno9.jpg', 'https://wx4.sinaimg.cn/large/0070FZkkly1gxyhbyxiwyj31o027u4qp.jpg', 'https://wx1.sinaimg.cn/large/0070FZkkly1gxyhbzlhuqj31o027u1kx.jpg', 'https://wx2.sinaimg.cn/large/0070FZkkly1gxyhc06v23j31o027u1kx.jpg', 'https://wx2.sinaimg.cn/large/0070FZkkly1gxyhc15c47j31o027ue81.jpg', 'https://wx3.sinaimg.cn/large/0070FZkkly1gxyhc28i20j31o027ue81.jpg', 'https://wx1.sinaimg.cn/large/0070FZkkly1gxyhc41r2oj30go0m7n1i.jpg', 'https://wx1.sinaimg.cn/large/0070FZkkly1gxyhc4wymnj30go0m7tdc.jpg', 'https://wx3.sinaimg.cn/large/0070FZkkly1gxyhc5igj2j30go0m778n.jpg']",,
4720896633734392,L8LCffFu8,5387658272,莞城-亚安,#莞邑酒店与大排档#东莞市莞城区东纵路盈锋家居广场3楼【豪金阁】酒楼。2022.1.1元旦,,东莞·盈锋家居广场(东纵路),,莞邑酒店与大排档,0,0,0,2022-01-01 18:28,荣耀9i 千元潮美旗舰,['https://wx1.sinaimg.cn/large/005SC424gy1gxycinn6nzj319c0mgdlg.jpg'],,
4723397647141585,L9OG8tXQR,6241659254,胖兔丁,【最近整理更新的医院医生】微整李永军，孙静首玺丽格沈波，郑辉高尚余文林，郑裕涛莞城天后牛永敢，田龙元百达丽周亚超，唐为东韩美方长亮伊颜美王者平恒美闫侯旺，马大梦怎么样？经验丰富吗？技术审美好不好？口碑评价如何？好吗？想具体了解的姐妹，可以问我答疑解惑或在置顶评论查询O2021全国隆鼻＆双眼皮＆下颌角磨骨＆脂肪填充＆胸部权威医生攻略合集,,,,,0,1,0,2022-01-08 16:06,微博 HTML5 版,,,
4723863420933076,La0No3UJC,2267735174,细细粒要加油,周日杂记打卡莞城老字号烧鹅店“中山饭馆”，没吃早餐就过去，等待时间太久了，差点饿晕过去打卡外贸杂货店，货品琳琅满目，眼睛完全看不过来，好爱这种满满当当的感觉,,,,,0,0,2,2022-01-09 22:57,iPhone客户端,['https://wx4.sinaimg.cn/large/872ae486gy1gy7tbylp7pj20uk4wt1kz.jpg'],,
4720851456885531,L8KrnsTeX,6422937016,医美颜值社,【最近做鼻子常问医院医生】北京彤美刘风卓，潘彦龙石家庄美然王鹏济南君子石红基，王凯长沙华韩华美罗亮徐州华美王玲东莞莞城天后陈茜广州艺美李闯怎么样？评价技术好不好？靠谱吗？黑料，失败案例？不清楚都可以问或评论查询,,,,,0,2,0,2022-01-01 15:29,,"['https://wx2.sinaimg.cn/large/0070FZkkly1gxy7elmig1j32yo4g0hdu.jpg', 'https://wx1.sinaimg.cn/large/0070FZkkly1gxy7enikzaj32yo4g0qv7.jpg', 'https://wx3.sinaimg.cn/large/0070FZkkly1gxy7ep7w7jj31o02807wh.jpg', 'https://wx4.sinaimg.cn/large/0070FZkkly1gxy7epwoduj31o02807wh.jpg', 'https://wx3.sinaimg.cn/large/0070FZkkly1gxy7eqey6oj31x01fqayw.jpg', 'https://wx2.sinaimg.cn/large/0070FZkkly1gxy7er5ayyj31sc2dsx6p.jpg', 'https://wx2.sinaimg.cn/large/0070FZkkly1gxy7es26vqj31sc2dsqv5.jpg', 'https://wx2.sinaimg.cn/large/0070FZkkly1gxy7eth4r2j31sc2ds7wh.jpg', 'https://wx1.sinaimg.cn/large/0070FZkkly1gxy7euhzqdj31sc2dsx6p.jpg']",,
