id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4477817649647585,IwEokEtMd,2843254753,花之迪迪,迪丽热巴又开始看一千零一夜了，笑出天际,,,,,0,1,5,2020-03-01 23:59,迪丽热巴超话,,,
4477817448703563,IwEo0Awc3,5516477936,两口yo,刷完自己所有微博回想了一下我这些年仓促爱过的男女明星女生：孙嘉灵、李多喜、李圣经、高俊熙、郭碧婷、迪丽热巴、钟楚曦等等男生：权志龙、大声、Bobby、韦礼安、赵寅成、金秀贤、李光洙、白敬亭、易烊千玺、刘在石、Sam等等我喜欢的女生都是一个类型：胸大腿长貌美我喜欢的男明星大部分更看重才华？（我没有说他们部分不好看的意思）,,,,,0,4,3,2020-03-01 23:58,iPhone X,['https://wx4.sinaimg.cn/large/b10c1bc2ly1gcb0n2qovdg20fs0fsagd.jpg'],,
4477817293377727,IwEnLeaHt,5883362883,最新影视综艺,《三生三世枕上书》名场面终于来了，白滚滚已下单，请注意查收#电视剧三生三世枕上书##迪丽热巴##高伟光#L最新影视综艺的微博视频,,,,"电视剧三生三世枕上书,迪丽热巴,高伟光",0,0,21,2020-03-01 23:58,Android,,"http://f.video.weibocdn.com/001vNlj1gx07BmQcUBQj0104120099K90E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1676269956&ssig=w2TFL1l6Sg&KID=unistore,video",
4477817268149004,IwEnIybVy,5934169137,努力赚钱der小饼干,接上一棒！！@混沌第一樂章饭圈女孩调查①什么时候开始追星：2016年②初恋追星的爱豆是谁：迪丽热巴③对白嫖🐶什么看法：做自己力所能及的就好，未来很长，你会挣到钱的④本命是谁：迪丽热巴姚琛⑤见过自己本命吗：都见过，都比照片好看一百倍⑥在饭圈什么地位：没有地位，佛系老阿姨⑦饭圈人际关系怎么样：有一群美丽的Darling姐妹陪伴追星很幸运⑧愿意为蒸煮花💰吗：女儿的话就是杂志，代言，儿子的话集资了不少，还有专辑，代言，演唱会⑨有墙头吗：一个女儿一个儿子，没钱再给别人花了⑩艾特你的人和你关系怎么样：面基过两次，长腿大美女，见过的ckjj颜值都很高呀⑪艾特你饭圈姐妹十位回答问题，不可以更改拒绝回答问题。随便at几个写过就算了@Rely-樱桃女孩@风险大过天@仓鼠琛的花生米@牙牙yc@泽艾琛@琛妈Cookies@初恋追星小琛哥,,,"混沌第一樂章,Rely,风险大过天,仓鼠琛的花生米,牙牙yc,泽艾琛,琛妈Cookies,初恋追星小琛哥",,0,1,2,2020-03-01 23:58,OPPO R15 梦镜版,,,
4477817167196359,IwEnyuc6j,6647407142,既然想吃饭,接@冬遇慕斯①什么时候开始追星:算是2017②初恋追星的爱豆是谁：迪丽热巴③对白嫖🐶什么看法：滚④本命是谁:宋亚轩⑤见过自己本命吗：没有⑥在饭圈什么地位:没有地位⑦饭圈人际关系怎么样:我感觉一般，但我话很多可以多来找我玩⑧愿意为蒸煮花💰吗：我宝贝那么可爱当然！⑨有墙头吗：🈚我真的好爱小宋！⑩艾特你的人和你关系怎么样:我好喜欢她！⑪艾特你饭圈姐妹十位回答问题，不可以更改拒绝回答问题@任奕霏出没@小王想改个名儿@Collar-@辰儿_Yichen@橘汁烩牛柳@春日沙东奇遇@空调房里很凉快@小阿布布酱@巍澜小软糖@草莓珍宝猪这么晚了打扰你们啦！想做题就做嘻嘻！做过的就不用做啦！,,,"冬遇慕斯,任奕霏出没,小王想改个名儿,Collar,辰儿_Yichen,橘汁烩牛柳,春日沙东奇遇,空调房里很凉快,小阿布布酱,巍澜小软糖,草莓珍宝猪",,0,8,1,2020-03-01 23:57,小宋手里的Android,,,
4477817133492214,IwEnveEu2,5027524481,SS石头917,才华横溢的@Dear-迪丽热巴@汪苏泷发新歌K偏偏(电视剧《三生三世枕上书》片尾曲)了！快来#音乐人先锋榜#为TA打榜吧！,,,"Dear,汪苏泷",音乐人先锋榜,0,0,1,2020-03-01 23:57,,,,
4477816970632641,IwEnf2EzT,6827595835,热巴的女生,迪丽热巴入目无她人四下皆是你.💜@Dear-迪丽热巴,,,Dear,,0,0,2,2020-03-01 23:57,迪丽热巴超话,['https://wx4.sinaimg.cn/large/007s3Tztly1gcev9rpxecj30u01jmgsr.jpg'],,
4477816869769666,IwEn4EZxg,6291838029,进击中的小逗比,天了噜！我在迪丽热巴超话又双叒叕升级了！当前等级LV.4，获得江离头衔，小伙伴们速来围观~超话传送门→迪丽热巴,,,,,0,0,0,2020-03-01 23:56,超话,,,
4477816827340990,IwEn0uNJ4,5715468135,小巴宝贝呀,#迪丽热巴白凤九#dlrb#迪丽热巴三生三世枕上书#【迪丽热巴dlrb热巴四字女星九字女星大连日报滴滴叭叭】@Dear-迪丽热巴,,,Dear,"迪丽热巴白凤九,迪丽热巴三生三世枕上书",0,0,0,2020-03-01 23:56,Android,"['https://wx4.sinaimg.cn/large/006eNwlVly1gcev9ncnjej31hc2i01kz.jpg', 'https://wx3.sinaimg.cn/large/006eNwlVly1gcev9p04mhj30zs1rle6i.jpg', 'https://wx4.sinaimg.cn/large/006eNwlVly1gcev9qo2dkj31hc0u01jf.jpg']",,
4477816768652268,IwEmUAiQI,5715468135,小巴宝贝呀,#迪丽热巴白凤九#dlrb#迪丽热巴三生三世枕上书#【迪丽热巴dlrb热巴四字女星九字女星大连日报滴滴叭叭】@Dear-迪丽热巴,,,Dear,"迪丽热巴白凤九,迪丽热巴三生三世枕上书",0,0,0,2020-03-01 23:56,Android,"['https://wx4.sinaimg.cn/large/006eNwlVly1gcev95hesmj313w218npe.jpg', 'https://wx4.sinaimg.cn/large/006eNwlVly1gcev9girh2g30m00ce1l2.jpg', 'https://wx3.sinaimg.cn/large/006eNwlVly1gcev9iid7wj30s51e07me.jpg']",,
